company_name,website,linkedin_url,profile_url
3DLogistiX,https://www.3dlogistix.com/,https://www.linkedin.com/company/3dlogistix,https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/3dlogistix
Acme AI Ltd,https://www.acmeai.tech,,https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/acme-ai-ltd
AegentIQ by Zypero Intellect,https://zypero.com,https://www.linkedin.com/company/aegentiq,https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aegentiq-by-zypero-intellect
AgentCallBack Pte Ltd,https://www.agentcallback.com,https://www.linkedin.com/company/agentcallback,https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/agentcallback-pte-ltd
AgGen Technologies,https://www.aggen.lk/,https://www.linkedin.com/company/aggen,https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aggen-technologies
Aggreko,https://www.aggreko.com/en-sg,https://www.linkedin.com/company/aggreko,https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aggreko
AI BRAIN SOLUTIONS PTE. LTD,https://aibrainsolutions.com/,https://www.linkedin.com/company/ai-brain-solutions,https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ai-brain-solutions-pte-ltd
"AI PLATFORM CO., LTD",https://www.aiplatform.co.kr/?lang=en,,https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ai-platform-co-ltd
AI4IV Srl,https://www.ai4iv.com,https://www.linkedin.com/company/ai4iv,https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ai4iv-srl
AidMi,,,https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aidmi
Ailytics Pte Ltd,https://ailytics.ai/,https://www.linkedin.com/company/ailytics,https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ailytics-pte-ltd
AIonOS Pte. Ltd.,https://aionos.io/about,,https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aionos-pte-ltd-
Aires Applied Quantum Technology,https://www.airesatech.com,,https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aires-applied-quantum-technology
Airia,https://airia.com,https://www.linkedin.com/company/airia-enterprise-ai-simplified,https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/airia
